1145196 524 496 451 0.08 -0.10 -0.39 78.68 104.08 161.78
1203352 524 495 451 0.08 -0.11 -0.39 78.73 104.95 161.11
1261500 524 496 452 0.08 -0.10 -0.39 78.51 104.30 161.50
1319652 524 496 452 0.08 -0.10 -0.39 78.51 104.30 161.50
1377808 524 496 453 0.08 -0.10 -0.38 78.33 104.53 161.20
1435960 524 496 453 0.08 -0.10 -0.38 78.33 104.53 161.20
1494112 524 496 453 0.08 -0.10 -0.38 78.33 104.53 161.20
1552260 525 496 453 0.09 -0.10 -0.38 77.42 104.48 160.64
1610404 525 496 454 0.09 -0.10 -0.37 77.23 104.70 160.33
1668548 525 495 453 0.09 -0.11 -0.38 77.48 105.37 159.98
1726700 525 496 453 0.09 -0.10 -0.38 77.42 104.48 160.64
1784852 525 496 453 0.09 -0.10 -0.38 77.42 104.48 160.64
1843004 524 496 452 0.08 -0.10 -0.39 78.51 104.30 161.50
1901160 524 495 452 0.08 -0.11 -0.39 78.56 105.18 160.82
1959308 525 496 452 0.09 -0.10 -0.39 77.62 104.25 160.94
2017448 525 496 452 0.09 -0.10 -0.39 77.62 104.25 160.94
2075592 523 499 454 0.07 -0.08 -0.37 78.94 102.03 163.54
2133748 520 494 452 0.06 -0.11 -0.39 82.20 106.23 161.89
2191896 540 487 449 0.19 -0.16 -0.41 67.00 109.63 148.98
2250044 525 494 449 0.09 -0.11 -0.41 78.25 105.31 160.52
2308192 527 496 450 0.10 -0.10 -0.40 76.27 103.73 160.38
2366352 516 496 449 0.03 -0.10 -0.41 86.00 103.89 165.52
2424504 522 496 447 0.07 -0.10 -0.42 81.01 103.34 163.81
2482656 522 496 445 0.07 -0.10 -0.43 81.26 102.97 164.28
2540812 521 495 443 0.06 -0.11 -0.45 82.32 103.42 164.47
2598956 522 496 442 0.07 -0.10 -0.45 81.61 102.44 164.92
2657112 522 496 440 0.07 -0.10 -0.47 81.83 102.11 165.33
2715264 522 496 438 0.07 -0.10 -0.48 82.04 101.79 165.71
2773420 523 495 435 0.07 -0.11 -0.50 81.64 102.04 165.27
2831584 521 497 433 0.06 -0.09 -0.51 83.21 100.39 167.55
2889740 523 495 430 0.07 -0.11 -0.53 82.13 101.34 166.14
2947904 523 496 429 0.07 -0.10 -0.54 82.20 100.54 166.83
3006064 523 495 427 0.07 -0.11 -0.55 82.39 100.95 166.61
3064224 523 495 425 0.07 -0.11 -0.56 82.56 100.71 166.91
3122384 523 495 424 0.07 -0.11 -0.57 82.64 100.59 167.06
3180536 522 496 423 0.07 -0.10 -0.58 83.33 99.87 168.06
3238532 523 495 422 0.07 -0.11 -0.58 82.80 100.36 167.34
3296696 522 496 421 0.07 -0.10 -0.59 83.48 99.66 168.31
3354692 522 495 420 0.07 -0.11 -0.60 83.56 100.16 167.93
3412844 522 496 419 0.07 -0.10 -0.60 83.61 99.45 168.56
3470828 522 496 417 0.07 -0.10 -0.62 83.74 99.26 168.79
3528820 522 496 416 0.07 -0.10 -0.62 83.81 99.16 168.91
3586804 523 495 414 0.07 -0.11 -0.64 83.37 99.54 168.34
3644788 522 496 414 0.07 -0.10 -0.64 83.93 98.98 169.13
3702768 522 496 413 0.07 -0.10 -0.64 83.99 98.89 169.24
3760768 525 503 416 0.09 -0.06 -0.62 81.99 95.04 170.52
3818760 522 498 413 0.07 -0.09 -0.64 83.97 97.76 170.15
3876752 527 499 413 0.10 -0.08 -0.64 81.13 97.15 168.57
3934744 522 496 410 0.07 -0.10 -0.66 84.16 98.64 169.55
3992740 519 501 411 0.05 -0.07 -0.65 85.76 95.95 172.68
4050720 541 489 404 0.19 -0.15 -0.70 74.97 101.41 160.96
4108884 517 500 410 0.04 -0.07 -0.66 86.92 96.45 172.84
4166880 514 491 402 0.02 -0.13 -0.71 88.71 100.60 169.32
4225040 526 492 401 0.09 -0.13 -0.72 82.64 99.92 167.60
4283016 540 559 439 0.19 0.31 -0.47 71.80 58.63 142.62
4340832 511 535 425 -0.00 0.15 -0.56 90.32 74.80 164.80
4398804 458 531 416 -0.35 0.13 -0.62 118.76 79.90 149.19
4456956 590 470 396 0.51 -0.27 -0.75 57.40 106.55 142.45
4515112 550 467 374 0.25 -0.29 -0.90 75.08 107.31 156.83
4573264 542 516 416 0.20 0.03 -0.62 72.31 87.43 162.11
4631100 516 502 396 0.03 -0.06 -0.75 87.78 94.70 174.80
4689100 500 502 409 -0.07 -0.06 -0.67 96.37 95.26 171.72
4747244 533 495 407 0.14 -0.11 -0.68 78.51 98.79 165.46
4805236 497 516 421 -0.09 0.03 -0.59 99.09 87.19 170.48
4863208 560 553 446 0.32 0.27 -0.43 57.97 63.02 135.74
4921008 583 419 373 0.47 -0.60 -0.90 66.77 120.69 139.83
4979148 576 439 366 0.42 -0.47 -0.95 68.36 114.49 146.30
5037288 454 616 463 -0.37 0.68 -0.32 116.52 35.75 112.13
5095432 530 561 450 0.12 0.32 -0.40 76.81 52.38 139.33
5153236 521 534 432 0.06 0.15 -0.52 83.44 74.30 162.92
5211056 522 493 405 0.07 -0.12 -0.69 84.45 99.81 168.70
5269052 522 495 402 0.07 -0.11 -0.71 84.58 98.53 169.87
5327044 522 497 402 0.07 -0.09 -0.71 84.57 97.51 170.71
5385036 522 496 402 0.07 -0.10 -0.71 84.58 98.02 170.30
5443028 522 496 401 0.07 -0.10 -0.72 84.62 97.95 170.38
5501016 522 495 401 0.07 -0.11 -0.72 84.63 98.46 169.96
5559012 522 496 401 0.07 -0.10 -0.72 84.62 97.95 170.38
5617004 522 496 402 0.07 -0.10 -0.71 84.58 98.02 170.30
5674988 522 496 402 0.07 -0.10 -0.71 84.58 98.02 170.30
5732980 522 495 402 0.07 -0.11 -0.71 84.58 98.53 169.87
5790972 522 496 402 0.07 -0.10 -0.71 84.58 98.02 170.30
5848964 522 496 402 0.07 -0.10 -0.71 84.58 98.02 170.30
5906956 522 495 402 0.07 -0.11 -0.71 84.58 98.53 169.87
5964948 522 496 402 0.07 -0.10 -0.71 84.58 98.02 170.30
6022940 522 496 402 0.07 -0.10 -0.71 84.58 98.02 170.30
6080932 523 496 402 0.07 -0.10 -0.71 84.06 98.01 170.00
6138924 522 496 402 0.07 -0.10 -0.71 84.58 98.02 170.30
