71	99100	0	8
69	99100	0	8
70	99100	0	7.7
68	99000	0	7.7
69	99000	0	7.3
66	99000	0	7.7
68	99000	0	7.2
68	99000	0	6.8
64	98900	0	7.1
65	98900	0	7.1
63	98900	0	7.8
64	98900	0	7.7
63	98800	0	7.9
62	98800	0	8.4
62	98800	0	8.8
62	98800	0	8.9
63	98800	0	8.7
64	98800	0	8.5
65	98800	0	8
67	98800	0	7.3
64	98800	0	7.3
63	98800	0	7.6
70	98700	0	6.8
78	98700	0	6.7
0	90000	0	-50
0	90000	0	-50
0	90000	0	-50
0	90000	0	-50
0	90000	0	-50
62	98800	0	7.9
62	98800	0	8
61	98800	0	8.5
61	98800	0	9.2
60	98800	0	9.5
61	98800	0	9.8
61	98800	0	10.2
62	98800	0	10.7
64	98900	0	10.9
67	98900	0	11.2
68	98900	0	11.5
68	99000	0	11.9
69	99000	0	12.1
71	99100	0	12.4
76	99100	0	12.5
78	99100	0	13
78	99100	0	13.4
77	99100	0	14.1
76	99000	0	14.5
76	99100	0	14.7
78	99100	0.2	14.5
79	99200	0.4	14.1
78	99200	0.2	14
78	99200	0	13.9
77	99200	0	13.9
77	99200	0	14
76	99100	0	14.3
77	99100	0	14.5
77	99100	0	14.7
78	99100	0	14.7
78	99100	0	14.6
78	99000	0	14.6
78	99000	0	14.6
78	99000	0	14.5
78	98900	0	14.4
78	98900	0	14.5
77	98900	0	14.4
78	98900	0	14
79	98800	0	13.5
79	98800	0	13.3
79	98800	0	13.3
79	98800	0	13.2
80	98700	0	13.1
80	90000	0	13
80	90000	0	12.8
80	90000	0	12.8
80	90000	0	13
80	90000	0	13.1
80	90000	0	13.1
79	98600	0	13.1
79	98600	0	13.1
79	98600	0	13.2
78	98600	0	13.3
78	98600	0.2	13.2
79	98600	0	13
79	98500	0.2	12.8
79	98400	0	12.7
79	98400	0	12.7
78	98300	0	12.8
76	98200	0	13
75	98200	0	13.2
73	98100	0	13.5
72	98000	0	13.7
73	98000	0	13.7
74	98000	0	13.7
74	98000	0	13.9
74	97900	0	13.9
